name,name_alt,lat,lon
Ижевск,Ижевск,56.852738,53.2114896
Сарапул,Сарапул,56.4615767,53.8037657
Воткинск,Воткинск,57.0518149,53.9873096
Глазов,Глазов,58.1359233,52.6635038
Можга,Можга,56.4427774,52.2137886
Камбарка,Камбарка,56.2659916,54.193374
Абаза,Абаза,52.6516647,90.0885686
Абакан,Абакан,53.7223325,91.4436721
Саяногорск,Саяногорск,53.1008083,91.4122454
Сорск,Сорск,54.0002888,90.2594446
Черногорск,Черногорск,53.8259342,91.3260229
Чебоксары,Чебоксары,56.1438298,47.2489782
Новочебоксарск,Новочебоксарск,56.1094977,47.4791113
Канаш,Канаш,55.507,47.4918273
Алатырь,Алатырь,54.8397989,46.5721997
Шумерля,Шумерля,55.4962415,46.4182681
Цивильск,Цивильск,55.8650213,47.4729349
Козловка,Козловка,55.8406025,48.2577735
Менделеевск,Менделеевск,55.895169,52.3143347
Мензелинск,Мензелинск,55.7270698,53.1003968
Набережные Челны,Набережные Челны,55.7434619,52.3959165
Нижнекамск,Нижнекамск,55.6313609,51.8144669
Нурлат,Нурлат,54.4281461,50.8049337
Тетюши,Тетюши,54.936516,48.8314533
Чистополь,Чистополь,55.3699139,50.6285784
Ак-Довурак,Ак-Довурак,51.178452,90.5985129
Кызыл,Кызыл,51.7191047,94.4376882
Туран,Туран,52.1449619,93.9173396
Ядрин,Ядрин,55.9406974,46.2020896
Мариинский Посад,Мариинский Посад,56.111923,47.7142942
Алейск,Алейск,52.4922513,82.7793606
Барнаул,Барнаул,53.3479968,83.7798064
Белокуриха,Белокуриха,51.996152,84.9839604
Бийск,Бийск,52.5393864,85.2138453
Горняк,Горняк,50.9979622,81.4643358
Заринск,Заринск,53.7063476,84.9315081
Змеиногорск,Змеиногорск,51.1581094,82.1872547
Камень-на-Оби,Камень-на-Оби,53.7913974,81.3545053
Новоалтайск,Новоалтайск,53.4119759,83.9311069
Рубцовск,Рубцовск,51.5012067,81.2078695
Славгород,Славгород,52.999463,78.6459232
Яровое,Яровое,52.9252146,78.5729775
Краснодар,Краснодар,45.0401604,38.9759647
Сочи,Сочи,43.5854551,39.7231548
Новороссийск,Новороссийск,44.7235026,37.7686135
Армавир,Армавир,45.0012149,41.1324168
Ейск,Ейск,46.71157,38.2763895
Кропоткин,Кропоткин,45.4333007,40.5727951
Славянск-на-Кубани,Славянск-на-Кубани,45.2603626,38.1259774
Туапсе,Туапсе,44.1105335,39.0824904
Лабинск,Лабинск,44.6354363,40.7245341
Анапа,Анапа,44.8950433,37.3163282
Тихорецк,Тихорецк,45.8546345,40.1260267
Крымск,Крымск,44.9344404,37.9855795
Геленджик,Геленджик,44.5630007,38.0790852
Тимашёвск,Тимашевск,45.615923,38.9351837
Белореченск,Белореченск,44.7651876,39.8781494
Курганинск,Курганинск,44.8877025,40.5913245
Усть-Лабинск,Усть-Лабинск,45.2227359,39.6929577
Кореновск,Кореновск,45.4641703,39.458949
Апшеронск,Апшеронск,44.4584006,39.7299824
Темрюк,Темрюк,45.2610949,37.4454412
Абинск,Абинск,44.8679655,38.1618157
Гулькевичи,Гулькевичи,45.3605121,40.6918389
Новокубанск,Новокубанск,45.1038699,41.0475175
Приморско-Ахтарск,Приморско-Ахтарск,46.0515432,38.1704875
Горячий Ключ,Горячий Ключ,44.6344864,39.1354738
Хадыженск,Хадыженск,44.4122963,39.5320258
Артёмовск,Артемовск,54.3473075,93.4358377
Ачинск,Ачинск,56.253907,90.4794397
Боготол,Боготол,56.2098468,89.5299336
Бородино,Бородино,55.9054121,94.9020967
Дивногорск,Дивногорск,55.9576784,92.3800687
Дудинка,Дудинка,69.4031364,86.1907218
Енисейск,Енисейск,58.4485261,92.1651083
Железногорск,Железногорск,56.2529035,93.532273
Заозёрный,Заозерный,55.9617752,94.7091491
Зеленогорск,Зеленогорск,56.1131564,94.5888103
Игарка,Игарка,67.4666901,86.5812794
Иланский,Иланский,56.2374037,96.067267
Канск,Канск,56.2051282,95.7051096
Кодинск,Кодинск,58.6032644,99.1797962
Красноярск,Красноярск,56.0093879,92.8524806
Лесосибирск,Лесосибирск,58.221681,92.5037872
Минусинск,Минусинск,53.7104586,91.6872907
Назарово,Назарово,56.0113799,90.4168775
Норильск,Норильск,69.3489978,88.2009846
Сосновоборск,Сосновоборск,56.1202647,93.3354121
Находка,Находка,42.8239372,132.8927361
Партизанск,Партизанск,43.1280578,133.1264567
Спасск-Дальний,Спасск-Дальний,44.5901175,132.8157288
Уссурийск,Уссурийск,43.7971818,131.9518229
Фокино,Фокино,42.9706317,132.4110196
Ставрополь,Ставрополь,45.044516,41.9689655
Пятигорск,Пятигорск,44.041091,43.0661553
Кисловодск,Кисловодск,43.9052044,42.7168721
Невинномысск,Невинномысск,44.6226031,41.9476723
Ессентуки,Ессентуки,44.0446186,42.8588653
Минеральные Воды,Минеральные Воды,44.2087273,43.138408
Михайловск,Михайловск,45.1297323,42.0288443
Георгиевск,Георгиевск,44.1485694,43.4739851
Будённовск,Буденновск,44.7816067,44.1650339
Изобильный,Изобильный,45.3684296,41.708702
Светлоград,Светлоград,45.328659,42.8565714
Зеленокумск,Зеленокумск,44.4032668,43.8841877
Благодарный,Благодарный,45.0989782,43.4306455
Нефтекумск,Нефтекумск,44.7544552,44.9865347
Новоалександровск,Новоалександровск,45.4932733,41.2153996
Ужур,Ужур,55.3141969,89.8333918
Уяр,Уяр,55.8131263,94.3282601
Шарыпово,Шарыпово,55.5389739,89.1801044
Владивосток,Владивосток,43.1164904,131.8823937
Арсеньев,Арсеньев,44.1622031,133.2696209
Артём,Артем,43.3501675,132.1596175
Большой Камень,Большой Камень,43.1111742,132.3480082
Дальнегорск,Дальнегорск,44.5539457,135.5662716
Дальнереченск,Дальнереченск,45.9308483,133.7316907
Лесозаводск,Лесозаводск,45.4780092,133.4186199
Новопавловск,Новопавловск,43.9617097,43.6342865
Ипатово,Ипатово,45.7181751,42.8970206
Железноводск,Железноводск,44.1320568,43.0306461
Лермонтов,Лермонтов,44.1054107,42.973135
Хабаровск,Хабаровск,48.4647258,135.0598942
Амурск,Амурск,50.2344147,136.8792444
Бикин,Бикин,46.8185743,134.2550718
Вяземский,Вяземский,47.5353379,134.7553856
Комсомольск-на-Амуре,Комсомольск-на-Амуре,50.5498936,137.0079408
Николаевск-на-Амуре,Николаевск-на-Амуре,53.1460657,140.7111367
Советская Гавань,Советская Гавань,48.9664966,140.285174
Белогорск,Белогорск,50.9213415,128.4739471
Завитинск,Завитинск,50.1064111,129.4391813
Зея,Зея,53.7340088,127.265787
Райчихинск,Райчихинск,49.7941615,129.4112492
Свободный,Свободный,51.3614103,128.1219729
Сковородино,Сковородино,53.9871095,123.9437205
Тында,Тында,55.1546441,124.7468904
Циолковский,Циолковский,51.762481,128.1219846
Шимановск,Шимановск,52.0051886,127.7005458
Архангельск,Архангельск,64.5394289,40.5169606
Северодвинск,Северодвинск,64.5625385,39.8180934
Котлас,Котлас,61.2528972,46.633242
Новодвинск,Новодвинск,64.4136851,40.8208143
Коряжма,Коряжма,61.2885948,47.1003015
Вельск,Вельск,61.066,42.1032789
Няндома,Няндома,61.6654674,40.2062947
Онега,Онега,63.9162928,38.0805031
Каргополь,Каргополь,61.5009724,38.9636966
Шенкурск,Шенкурск,62.1057272,42.8996973
Мезень,Мезень,65.8398078,44.2532273
Сольвычегодск,Сольвычегодск,61.3319616,46.920441
